seed,total_reward,average_reward_per_step,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,485.83224330295286,0.9716644866059058,24.63260269165039,84.785,1.9560518731988472,2.6015844158538264,0.0,61.0,0.0,51.398521423339844,100.0,1.0,0.0,0.0,0.0,0.0,11.9844388961792,100.0,1.0,0.0,0.0,0.0,0.0,11.9844388961792,100.0,1.0,0.0,0.0,0.0,0.0
43.0,486.3517730112178,0.9727035460224356,19.30801010131836,87.00666666666666,2.1792020928711575,1.8386339062748909,0.0,5.0,0.0,50.4453239440918,100.0,1.0,0.0,0.0,0.0,0.0,17.344633102416992,100.0,1.0,0.0,0.0,0.0,0.0,12.902034759521484,99.97142857142858,1.0,0.0,0.0,0.0,0.0
44.0,485.80317772305034,0.9716063554461006,27.551904678344727,86.4865873015873,3.2070084360804674,3.2114497777196003,0.0,2.0,0.0,48.05031204223633,100.0,1.0,0.0,0.0,0.0,0.0,12.198892593383789,100.0,1.0,0.0,0.0,0.0,0.0,12.198892593383789,100.0,1.0,0.0,0.0,0.0,0.0
45.0,483.3758445365499,0.9667516890730998,24.86866569519043,82.82285714285716,4.3408939292861906,3.566466307524154,0.0,1.0,0.0,50.1326789855957,100.0,1.0,0.0,0.0,0.0,0.0,12.499327659606934,100.0,1.0,0.0,0.0,0.0,0.0,12.499327659606934,100.0,1.0,0.0,0.0,0.0,0.0
46.0,488.35574030588594,0.9767114806117719,24.50511360168457,89.38626984126985,1.271105010295127,0.8553250859758958,0.0,9.0,0.0,51.65034103393555,100.0,1.0,0.0,0.0,0.0,0.0,11.922271728515625,100.0,1.0,0.0,0.0,0.0,0.0,11.922271728515625,99.93333333333334,1.0,0.0,0.0,0.0,0.0
47.0,486.38263614509225,0.9727652722901845,23.676023483276367,87.67428571428572,3.3519434628975264,3.924979544001704,0.0,0.0,0.0,50.71165084838867,100.0,1.0,0.0,0.0,0.0,0.0,12.806161880493164,100.0,1.0,0.0,0.0,0.0,0.0,12.806161880493164,100.0,1.0,0.0,0.0,0.0,0.0
48.0,483.7654928953777,0.9675309857907554,25.730619430541992,83.76309523809523,3.9080079417604234,4.070052782436991,0.0,42.0,0.0,50.40117645263672,100.0,1.0,0.0,0.0,0.0,0.0,11.934098243713379,100.0,1.0,0.0,0.0,0.0,0.0,11.934098243713379,100.0,1.0,0.0,0.0,0.0,0.0
49.0,485.50432116411804,0.971008642328236,28.171751022338867,85.65691197691197,3.568166089965398,3.6074256020248328,0.0,12.0,0.0,47.41647720336914,100.0,1.0,0.0,0.0,0.0,0.0,12.205886840820312,100.0,1.0,0.0,0.0,0.0,0.0,12.205886840820312,100.0,1.0,0.0,0.0,0.0,0.0
50.0,485.16929126595323,0.9703385825319064,22.534364700317383,85.7957142857143,4.125084516565247,4.957415639266407,0.0,14.0,0.0,50.9289436340332,100.0,1.0,0.0,0.0,0.0,0.0,13.509395599365234,100.0,1.0,0.0,0.0,0.0,0.0,13.027286529541016,100.0,1.0,0.0,0.0,0.0,0.0
51.0,486.42011048601535,0.9728402209720307,22.612041473388672,86.11484126984128,1.7579445571331982,1.5026107888813163,0.0,29.0,0.0,52.81256866455078,100.0,1.0,0.0,0.0,0.0,0.0,12.372045516967773,100.0,1.0,0.0,0.0,0.0,0.0,12.203348159790039,99.96,1.0,0.0,0.0,0.0,0.0
