traffic_load,average_total_reward,average_reward_per_step,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_allocation_percent
Low,450.92958058289287,0.9018591611657858,62.51418759018759,43.86476587898575,18.64360560013529,3.143359451824361,21.5,99.64080952380952,1.0001067235859125,0.0032651138827701903,0.0,25.5,100.0,1.0,0.0,0.0,25.5,99.752,1.0001980198019802,0.00444553352884032,0.0,27.5
Medium,450.92958058289287,0.9018591611657858,62.51418759018759,43.86476587898575,18.64360560013529,3.143359451824361,21.5,99.64080952380952,1.0001067235859125,0.0032651138827701903,0.0,25.5,100.0,1.0,0.0,0.0,25.5,99.752,1.0001980198019802,0.00444553352884032,0.0,27.5
High,483.24111669303346,0.9664822333860672,85.88491068408715,2.883237296416695,2.4299447347089425,0.0,46.0,97.82225180375181,1.0161967217765064,0.13684233812257252,0.0,22.0,100.0,1.0,0.0,0.0,15.0,98.87304473304474,1.0008473543026213,0.020000657736644792,0.0,17.0
