traffic_load,method,run,seed,total_reward,mean_throughput_percent,mean_latency_ms,mean_jitter_ms,mean_plr_percent
low,D3QN,1,42,296.6726774468704,46.899166666666666,48.02031857811024,36.89505801546435,33.67748053925479
low,D3QN,2,43,283.9269431323807,47.75333333333333,67.5747782701106,27.279424633800314,32.77761635112729
low,D3QN,3,44,268.4312906085686,42.03178571428572,70.15841294228636,25.422954121829115,26.082455326695403
low,D3QN,4,45,310.9858189227409,48.093333333333334,51.16544018046662,33.47911433830817,31.542650945041387
low,D3QN,5,46,315.9115468150147,48.829166666666666,33.99619603685116,28.646242905485757,34.92717676675643
low,D3QN,6,47,302.4889006157381,46.141488095238095,47.70452389514904,30.14817527741492,33.61122599025825
low,D3QN,7,48,303.33464914915305,46.73166666666667,64.8695,31.363076862591893,30.0550348344466
low,D3QN,8,49,303.02687329316063,50.35488095238095,11.095904147014098,7.8626653776929665,33.16222746879176
low,D3QN,9,50,297.91396324462096,49.23011904761905,51.800053150169674,21.4458431398337,32.21234877208966
low,D3QN,10,51,292.41319852710905,49.2825,65.19722404335901,19.08757071148965,31.91447236832859
low,PPO,1,42,254.39672797989925,48.8725,0.5461847389558233,0.26581597872629287,37.50843341456396
low,PPO,2,43,259.8062923725177,48.920833333333334,0.5429999999999999,0.2233853173330781,36.793685723886064
low,PPO,3,44,259.2972794159575,48.99285714285715,0.515,0.08381527307120105,37.51181428139436
low,PPO,4,45,259.9642238245245,49.4025,0.516242013552759,0.12500943364474543,37.05511288180611
low,PPO,5,46,260.6872792868426,49.96535714285714,0.5,0.0,37.20602428340994
low,PPO,6,47,256.5794193994679,48.78,0.556,0.30391446164998465,38.225806451612904
low,PPO,7,48,260.3363129989048,49.142916666666665,0.53,0.18867962264113208,37.44254111901171
low,PPO,8,49,259.76263263030984,49.82083333333334,0.501,0.0157797338380595,37.28593880899795
low,PPO,9,50,261.7056905856409,49.76119047619048,0.501,0.0157797338380595,36.83322391779097
low,PPO,10,51,258.9370915194513,48.990833333333335,0.524,0.13756453031214114,36.68163168222632
low,Baseline,1,42,248.8634408403551,46.08583333333333,0.8465848452508005,0.5533289876029157,37.40843341456396
low,Baseline,2,43,252.73137726041773,46.040416666666665,0.8847938144329897,0.6724039108624978,36.793685723886064
low,Baseline,3,44,255.27843423182702,47.08059523809524,0.5473465140478668,0.13041889450750566,37.51181428139436
low,Baseline,4,45,254.35581125970856,46.95232142857142,0.5919651500484027,0.21191130116141574,37.05511288180611
low,Baseline,5,46,250.74483158866192,46.24321428571428,0.7955927051671733,0.541418573003352,37.20602428340994
low,Baseline,6,47,247.35701347323098,45.61035714285714,0.9805825242718447,0.6209229354222905,38.225806451612904
low,Baseline,7,48,255.99783326802114,47.25791666666666,0.62275,0.2949490422089891,37.44254111901171
low,Baseline,8,49,255.38184939556305,47.763571428571424,0.543580375782881,0.154078238778208,37.28593880899795
low,Baseline,9,50,253.87435162819133,46.44404761904762,0.6437799043062201,0.28534302261155936,36.83322391779097
low,Baseline,10,51,254.55725911222444,46.889761904761905,0.6063829787234043,0.26142541857525403,36.68163168222632
medium,D3QN,1,42,328.73710261297083,48.57588203463204,8.789197711705592,9.626464024547381,44.796518162389575
medium,D3QN,2,43,194.55956896798506,34.853095238095236,76.88025569643005,33.759968064757544,54.653369060355516
medium,D3QN,3,44,183.6953245435809,35.23439213564213,80.74407507998453,31.71105920094472,55.43913566232608
medium,D3QN,4,45,279.47134981350075,48.50906746031746,12.797649176145171,7.210542672731794,44.204209583519926
medium,D3QN,5,46,284.4091693946062,49.04406746031746,10.225864398930963,5.7807432660430464,44.31866967184523
medium,D3QN,6,47,173.6965632542186,35.14918831168831,83.17572319471087,30.86221920836713,56.19409282041367
medium,D3QN,7,48,156.49074113044628,34.753530497280494,77.97262892008327,37.0793281878874,54.99216898439015
medium,D3QN,8,49,319.5220193108202,48.48956349206349,13.47626958353991,8.50024463478096,44.50567548393635
medium,D3QN,9,50,319.7785970244143,48.24724206349206,16.681789744039754,14.693782461650464,44.48506716631069
medium,D3QN,10,51,254.72506603895653,47.742812049062046,34.49376729911705,7.033470457162697,44.55184696718281
medium,PPO,1,42,247.59235016589975,48.97326118326119,0.5285666619095765,0.15101083114233654,45.003259959091146
medium,PPO,2,43,245.26084570529608,48.155882034632036,0.6602069685589667,0.4976780124905907,45.051559452275015
medium,PPO,3,44,246.22554114216922,48.503127705627705,0.6335129224652087,0.3785007518280402,44.87989364681492
medium,PPO,4,45,247.13436497187746,48.82535714285714,0.5369138708062093,0.1695400380403339,44.9283475145544
medium,PPO,5,46,248.57787646229522,49.15121031746032,0.5132175226586102,0.08497538305404699,44.96230110815959
medium,PPO,6,47,248.10201427187613,48.88077380952381,0.5286646251837335,0.18860086482430924,45.18038035872881
medium,PPO,7,48,245.11244866184964,48.308163780663776,0.5814273356401384,0.3437589071205114,45.086622450898275
medium,PPO,8,49,248.59163856611582,49.084107142857135,0.5091765873015873,0.0642811020966986,44.93825920456355
medium,PPO,9,50,246.00473284147475,48.74428571428571,0.576052818467893,0.30475426826710544,45.128257598042346
medium,PPO,10,51,248.24736023530556,49.327292568542575,0.5028892276422765,0.037154477245484235,45.14951032450858
medium,Baseline,1,42,169.05808601781376,42.232389971139966,5.135110294117647,0.884345463944896,52.03686076149837
medium,Baseline,2,43,166.71568221116218,41.33988455988456,5.155861801242236,0.9832242890817099,53.240788701286874
medium,Baseline,3,44,167.90559053752895,41.250402236652235,5.193027888446215,0.8741764452269148,53.291921479816914
medium,Baseline,4,45,166.49216697224745,41.366170634920636,5.179936305732484,0.9577912966390759,53.053034545100225
medium,Baseline,5,46,172.6532784364369,42.17613095238096,5.073330832708177,0.9745522029764047,51.963306638576896
medium,Baseline,6,47,168.52654308795036,42.16154761904762,5.184298440979956,0.9439804255496407,52.65220789425062
medium,Baseline,7,48,171.1027217222042,41.32708694083694,4.7627807900852055,1.5309647017044208,53.11924726553001
medium,Baseline,8,49,169.81575932191623,41.89789682539683,5.103038067349927,0.9631040790444753,52.012094685237486
medium,Baseline,9,50,168.3274425241079,41.93156746031746,5.089615384615384,1.069349121839401,52.574795276250086
medium,Baseline,10,51,171.96308526179854,42.611967893217894,4.943272727272728,1.101924027319248,51.66627861719151
high,D3QN,1,42,172.07534234417523,30.40455239205239,82.09863589292692,37.99772218447742,63.75793298157441
high,D3QN,2,43,158.72684335056198,29.824011682761686,85.17727432796994,27.488237353910787,63.64564575902398
high,D3QN,3,44,167.70085953107278,30.19439837939838,86.8590596842416,29.49521175860835,63.64201322439555
high,D3QN,4,45,155.8855274175494,30.312133740442565,86.72851163027794,24.964905162356857,64.16419425504222
high,D3QN,5,46,171.93793984533573,31.33070915195915,80.89080672671983,36.53309527373483,62.14732177744459
high,D3QN,6,47,155.93664538036785,29.6299060865605,89.94320342630854,25.960931171755362,64.83823961324413
high,D3QN,7,48,173.28361466038965,30.692833416583415,76.29042415005217,37.73944616150564,63.68684838149659
high,D3QN,8,49,147.9638909737497,30.47935057997558,73.0798203936576,39.07283014344605,63.12573614178703
high,D3QN,9,50,175.67493900368225,30.101702256077257,76.83184415584415,35.66680628460159,63.9200026654519
high,D3QN,10,51,170.06284470204642,30.600389541014543,80.36510737291249,36.10453812059754,63.72165398942245
high,PPO,1,42,206.36621922423404,46.06242868242868,3.3523802017654476,1.7614639397552876,48.58097813960673
high,PPO,2,43,194.98368201020648,44.97075174825175,3.974945540024732,1.8470496772596303,48.753201527815435
high,PPO,3,44,190.26303055004755,45.46903818403818,4.10009903155264,1.6367801335102703,48.66820588308359
high,PPO,4,45,200.24088179636738,45.785489155452396,3.4760897832817337,2.3979248652950744,48.09723266893324
high,PPO,5,46,207.20810600832164,45.72921758796758,2.61597155735157,1.6208651810819035,48.27259812312303
high,PPO,6,47,173.70234862387966,44.56855783105783,4.78869947678221,1.655904237600141,50.401583120923284
high,PPO,7,48,179.70150830674345,43.98174811299811,4.257555865921788,2.159743994983508,50.46134899971642
high,PPO,8,49,200.20345228145845,46.02062687720776,3.3080318550905683,1.927467545962024,48.06017313327326
high,PPO,9,50,185.81761684619474,45.10396506271506,4.278403629536921,1.8327451894721936,48.60417301473276
high,PPO,10,51,194.191034510508,45.88686618936619,3.4066335877862595,1.5956126233335999,48.10830869543149
high,Baseline,1,42,151.0313618864916,35.890300255300254,5.291002277904328,0.7985302924354869,61.809063491394504
high,Baseline,2,43,150.1758809091535,35.55150939338439,5.328988326848249,0.75345258995587,61.95178308809912
high,Baseline,3,44,149.27548767301823,35.31717643467643,5.361218944099379,0.699936435810626,62.17655572740853
high,Baseline,4,45,150.28484750729396,36.269421987326396,5.386834319526627,0.6003639495824717,61.60025251362694
high,Baseline,5,46,151.83124934130396,36.35159500222,5.273402674591382,0.8513767435151683,61.44393495908332
high,Baseline,6,47,147.88139569603422,34.69416333666334,5.340356564019449,0.7521176172243591,62.94987230414625
high,Baseline,7,48,149.68884670977698,35.32785013597513,5.271434294871795,0.8681573714738443,62.57873175736876
high,Baseline,8,49,151.54214030781557,36.098981773945006,5.250373692077728,0.9355141401353029,61.455360144001006
high,Baseline,9,50,150.8273223517858,35.71810286935287,5.323789392774788,0.7602318805072571,62.05533712603315
high,Baseline,10,51,150.66999077428545,36.02973137973138,5.315410199556541,0.7422729307502047,61.66469750419988
