seed,total_reward,average_reward_per_step,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,485.39424668951153,0.9707884933790231,25.419065475463867,84.55891774891775,2.642053445850914,2.360124255343289,0.0,47.0,0.0,51.3000373840332,100.0,1.0,0.0,0.0,0.0,0.0,11.640448570251465,100.0,1.0,0.0,0.0,0.0,0.0,11.640448570251465,99.96,1.0,0.0,0.0,0.0,0.0
43.0,485.3560289642656,0.9707120579285312,19.72530746459961,85.97,3.1650230111768574,3.3962096697790893,0.0,9.0,0.0,50.756370544433594,100.0,1.0,0.0,0.0,0.0,0.0,16.650968551635742,100.0,1.0,0.0,0.0,0.0,0.0,12.867350578308105,100.0,1.0,0.0,0.0,0.0,0.0
44.0,486.6113025767399,0.9732226051534798,27.389759063720703,87.00492063492062,1.9371584699453552,1.7868330234176333,0.0,1.0,0.0,48.509769439697266,100.0,1.0,0.0,0.0,0.0,0.0,12.050235748291016,100.0,1.0,0.0,0.0,0.0,0.0,12.050235748291016,99.93333333333334,1.0,0.0,0.0,0.0,0.0
45.0,480.92275710325987,0.9618455142065198,24.471155166625977,81.01208513708515,8.00268817204301,6.538450646732189,0.0,40.0,0.0,50.392066955566406,100.0,1.0,0.0,0.0,0.0,0.0,12.568387031555176,100.0,1.0,0.0,0.0,0.0,0.0,12.568387031555176,100.0,1.0,0.0,0.0,0.0,0.0
46.0,487.2654557472299,0.9745309114944598,24.634122848510742,88.26714285714286,1.97187704381949,1.8366572404126278,0.0,30.0,0.0,51.72262191772461,100.0,1.0,0.0,0.0,0.0,0.0,11.821624755859375,100.0,1.0,0.0,0.0,0.0,0.0,11.821624755859375,99.95555555555556,1.0,0.0,0.0,0.0,0.0
47.0,483.6587983686732,0.9673175967373464,23.883981704711914,85.62690476190477,6.64524948735475,8.374720467843458,0.0,0.0,0.0,50.38951110839844,100.0,1.0,0.0,0.0,0.0,0.0,12.863252639770508,100.0,1.0,0.0,0.0,0.0,0.0,12.863252639770508,100.0,1.0,0.0,0.0,0.0,0.0
48.0,485.85958462407325,0.9717191692481465,25.49820899963379,85.92071428571427,2.3011478730587442,1.6779316003680567,0.0,20.0,0.0,50.08160400390625,100.0,1.0,0.0,0.0,0.0,0.0,12.210094451904297,100.0,1.0,0.0,0.0,0.0,0.0,12.210094451904297,100.0,1.0,0.0,0.0,0.0,0.0
49.0,485.84083568610333,0.9716816713722066,28.607696533203125,86.08777777777779,3.19486504279131,3.0922102586918365,0.0,13.0,0.0,47.55357360839844,100.0,1.0,0.0,0.0,0.0,0.0,11.919365882873535,100.0,1.0,0.0,0.0,0.0,0.0,11.919365882873535,100.0,1.0,0.0,0.0,0.0,0.0
50.0,484.3903024486013,0.9687806048972025,22.00835609436035,84.27214285714287,3.593544137022398,3.7142868361611296,0.0,1.0,0.0,50.469268798828125,100.0,1.0,0.0,0.0,0.0,0.0,14.200751304626465,100.0,1.0,0.0,0.0,0.0,0.0,13.321624755859375,100.0,1.0,0.0,0.0,0.0,0.0
51.0,486.50823990980695,0.9730164798196139,21.815004348754883,86.22119047619047,2.2389380530973453,2.1431310545697277,0.0,18.0,0.0,53.18342590332031,100.0,1.0,0.0,0.0,0.0,0.0,12.787653923034668,100.0,1.0,0.0,0.0,0.0,0.0,12.213921546936035,100.0,1.0,0.0,0.0,0.0,0.0
