seed,total_reward,average_reward_per_step,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,466.4059576392174,0.9328119152784348,56.020389556884766,86.0,1.2107438016528926,0.8509888902842389,0.0,57.0,0.0,17.82066535949707,80.95,1.0,0.0,0.0,0.0,0.0,11.90485954284668,100.0,1.0,0.0,0.0,0.0,0.0,14.254085540771484,78.46666666666665,1.0020093770931011,0.044781017147881526,0.0,0.0,0.0
43.0,465.7296875715256,0.9314593751430511,50.24640655517578,87.1,1.161019792016102,0.47078716720387365,0.0,0.0,0.0,18.491971969604492,78.8,1.0,0.0,0.0,0.0,0.0,11.123435020446777,100.0,1.0,0.0,0.0,0.0,0.0,20.1381893157959,78.13333333333333,1.0,0.0,0.0,0.0,0.0
44.0,466.20832818746567,0.9324166563749313,58.74300765991211,86.56666666666666,1.1078629032258065,0.4059271910457354,0.0,0.0,0.0,16.705604553222656,81.55,1.0,0.0,0.0,0.0,0.0,12.27332592010498,100.0,1.0,0.0,0.0,0.0,0.0,12.278070449829102,77.46666666666665,1.0,0.0,0.0,0.0,0.0
45.0,465.52890199422836,0.9310578039884567,54.97589874267578,87.66666666666667,1.3472222222222223,0.9517834600633108,0.0,4.0,0.0,17.040302276611328,78.5,1.0,0.0,0.0,0.0,0.0,11.763503074645996,100.0,1.0,0.0,0.0,0.0,0.0,16.220304489135742,77.4,1.0020435967302452,0.045159942899093246,0.0,0.0,0.0
46.0,465.11574625968933,0.9302314925193786,54.84889221191406,86.16666666666667,1.0835881753312946,0.3552610794132564,0.0,0.0,0.0,18.24736213684082,78.6,1.0,0.0,0.0,0.0,0.0,11.74631404876709,100.0,1.0,0.0,0.0,0.0,0.0,15.157435417175293,78.0,1.0047074646940148,0.06844928392736771,0.0,0.0,0.0
47.0,466.6381524205208,0.9332763048410415,57.08440399169922,87.86666666666666,1.2833057851239669,0.8188294289827309,0.0,0.0,0.0,16.58417510986328,81.5,1.0,0.0,0.0,0.0,0.0,12.048856735229492,100.0,1.0,0.0,0.0,0.0,0.0,14.282557487487793,76.53333333333333,1.0006944444444446,0.026343162136653695,0.0,0.0,0.0
48.0,467.23696452379227,0.9344739290475845,56.29188919067383,89.03333333333335,1.2299071405699649,0.642931634373353,0.0,1.0,0.0,16.865781784057617,80.85,1.0,0.0,0.0,0.0,0.0,11.94160270690918,100.0,1.0,0.0,0.0,0.0,0.0,14.900721549987793,77.46666666666665,1.0,0.0,0.0,0.0,0.0
49.0,466.301758646965,0.9326035172939301,57.358463287353516,87.36666666666666,1.1217478318879253,0.39449262359857235,0.0,1.0,0.0,17.107471466064453,80.6,1.0,0.0,0.0,0.0,0.0,12.085946083068848,100.0,1.0,0.0,0.0,0.0,0.0,13.448113441467285,77.86666666666666,1.0,0.0,0.0,0.0,0.0
50.0,464.62340354919434,0.9292468070983887,57.53288269042969,86.5,1.6292929292929292,1.5501549303640016,0.0,0.0,0.0,16.152929306030273,79.25,1.0,0.0,0.0,0.0,0.0,12.109552383422852,100.0,1.0,0.0,0.0,0.0,0.0,14.204634666442871,76.33333333333333,1.0,0.0,0.0,0.0,0.0
51.0,466.7626419067383,0.9335252838134765,53.388221740722656,87.06666666666666,1.1718958611481975,0.6191410647396564,0.0,33.0,0.0,17.99839973449707,81.95,1.0,0.0,0.0,0.0,0.0,11.548633575439453,100.0,1.0,0.0,0.0,0.0,0.0,17.064748764038086,77.2,1.0,0.0,0.0,0.0,0.0
