episode,reward,average_reward_50,average_loss,epsilon
1,178.08162046203734,178.08162046203734,0.0,0.995
2,184.58281836869077,181.33221941536405,1.6734400987625122,0.990025
3,186.01940576156244,182.89461486409687,0.07638910699263216,0.985074875
4,191.55512040481216,185.0597412492757,0.06457526646926999,0.9801495006250001
5,181.59307756754353,184.36640851292927,0.060710543014109136,0.9752487531218751
6,182.91200082893604,184.12400723226372,0.05724242426082492,0.9703725093562657
7,182.4013092115033,183.87790751501225,0.05519479762576521,0.9655206468094844
8,186.36822905320082,184.1891977072858,0.09516203582659363,0.960693043575437
9,188.7583744376147,184.6968840106557,0.09604805811867118,0.9558895783575597
10,191.9983429836284,185.42702990795297,0.09718809654191136,0.9511101304657719
11,181.08544176823614,185.03234007706962,0.00466548231348861,0.946354579813443
12,177.85622803566963,184.4343307402863,0.0033168109719408675,0.9416228069143757
13,182.07539247605536,184.25287395073005,0.003225722371833399,0.9369146928798039
14,179.35309587956098,183.9028898027894,0.003028917197836563,0.9322301194154049
15,191.15820168971103,184.3865772619175,0.0031164803788997233,0.9275689688183278
16,180.99490756143638,184.17459790563743,0.003087991945678368,0.9229311239742362
17,174.62192988037484,183.61267625709257,0.0031122912359423933,0.918316468354365
18,184.26998197938133,183.64919324166416,0.003053579547908157,0.9137248860125932
19,184.54317611860844,183.69624497202963,0.0030531887779943643,0.9091562615825302
20,178.38177064427546,183.43052125564193,0.002823736946680583,0.9046104802746175
21,183.09214736384604,183.41440821317545,0.0020532891897019,0.9000874278732445
22,183.88189031683387,183.43565739970538,0.0013650889773853124,0.8955869907338783
23,183.74666094542593,183.44917929299757,0.0012584888805868104,0.8911090557802088
24,180.25450353293752,183.31606780299512,0.00121059847419383,0.8866535105013078
25,186.16496799803795,183.43002381079685,0.0011755212281714194,0.8822202429488013
26,179.86996963565224,183.29309865021438,0.0010715284070465713,0.8778091417340573
27,183.1311088157547,183.28709902671585,0.0010406650190125219,0.8734200960253871
28,186.76458281010463,183.4112948761226,0.00097818514786195,0.8690529955452602
29,177.26752763087254,183.19944083318296,0.0009703544587246143,0.8647077305675338
30,179.88212889605703,183.0888637686121,0.0009534700696240179,0.8603841919146962
31,183.50269288651123,183.10221309499593,0.001582441635837313,0.8560822709551227
32,182.04989475765106,183.06932814695386,0.0008738495212164707,0.851801859600347
33,185.19348904822044,183.13369665911347,0.0008192743306281045,0.8475428503023453
34,176.18038794218342,182.92918757920376,0.0007633116216456984,0.8433051360508336
35,179.40148958824923,182.8283962080336,0.0007508225759374909,0.8390886103705794
36,184.22292049454035,182.86713299376993,0.0007193414755747653,0.8348931673187264
37,186.89337406914737,182.9759503201315,0.0007231773872917983,0.8307187014821328
38,183.36761336529668,182.9862572423727,0.0007132540044840426,0.8265651079747222
39,191.1807184947893,183.19637163346027,0.0007246224531845656,0.8224322824348486
40,182.37179302841824,183.1757571683342,0.0006804640288464725,0.8183201210226743
41,187.15336055769447,183.27277188514788,0.0012230029304337222,0.8142285204175609
42,194.81349675187192,183.5475510486413,0.0008256193749839439,0.810157377815473
43,182.6531784220609,183.52675168523245,0.0007778687421232462,0.8061065909263957
44,186.46824850301815,183.59360388563667,0.0007743027921824251,0.8020760579717637
45,190.03958339321304,183.73684787469392,0.0007283944118535147,0.798065677681905
46,186.15735786513022,183.7894676570947,0.0007189205618924462,0.7940753492934954
47,188.66579371803198,183.8932192754125,0.0007056732272321824,0.7901049725470279
48,182.00085643685586,183.8537950496093,0.0006768382435257081,0.7861544476842928
49,189.58807091596586,183.9708210876982,0.0006871426935540512,0.7822236754458713
50,186.19358746755483,184.01527641529535,0.0006849693829135504,0.778312557068642
51,178.01130362533937,184.01387007856135,0.0013179833285394125,0.7744209942832988
52,198.1883033019966,184.28597977722748,0.000868165080086328,0.7705488893118823
53,186.84069214624205,184.30240550492107,0.0008459049260127359,0.7666961448653229
54,181.4852381598046,184.10100786002099,0.0007988932227599435,0.7628626641409962
55,183.0806598705427,184.1307595060809,0.0008031071258301381,0.7590483508202912
56,187.80030769333726,184.22852564336893,0.0007685041616496165,0.7552531090661897
57,182.86215823589006,184.23774262385666,0.0007268346390628722,0.7514768435208588
58,183.81058105678088,184.1865896639283,0.0007166096830333118,0.7477194593032545
59,190.0067160548275,184.21155649627252,0.0006893453169323038,0.7439808620067382
60,183.88578062715922,184.04930524914315,0.0007092325660632923,0.7402609576967045
61,180.81768122494566,184.04395003827733,0.0013860839880653656,0.736559652908221
62,183.3008235794963,184.15284194915387,0.0009549217639141716,0.7328768546436799
63,187.5417028125579,184.26216815588393,0.0009637505766586401,0.7292124703704616
64,182.5128605295285,184.32536344888325,0.000941190657496918,0.7255664080186093
65,184.1206937890043,184.18461329086912,0.0009298507412895561,0.7219385759785162
66,186.40652961680348,184.2928457319764,0.0008902576525579207,0.7183288830986236
67,189.15811567676687,184.5835694479043,0.0008387540860858281,0.7147372386831305
