seed,total_reward,average_reward_per_step,most_used_action_index,most_used_action_count,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,440.43800068092713,0.8808760013618543,137.0,461.0,50.0,71.41668848695166,25.836524300441827,8.612219817651766,27.06431324812335,200.0,1334.0,20.0,97.77191086691087,1.0196078431372548,0.15439231125513356,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.51359307359307,1.0,0.0,0.0,0.0,0.0
43.0,440.59675159213464,0.8811935031842693,137.0,460.0,50.0,71.83556479897811,25.05266170578134,8.867922135493961,25.44904137235116,200.0,1261.0,20.0,97.6745904095904,1.0468085106382978,0.30001257455664754,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.53907647907648,1.0,0.0,0.0,0.0,0.0
44.0,440.5784128966666,0.8811568257933332,137.0,443.0,50.0,72.01063580038812,24.327354260089685,7.884921506931056,25.548310610551273,200.0,1293.0,20.0,95.9186507936508,1.434757996037362,1.8216712635641763,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,98.87566211566211,1.0026899798251514,0.051795210528499544,0.0,0.0,0.0
45.0,436.3543347628348,0.8727086695256696,137.0,466.0,50.0,70.55608196842716,26.587124463519313,6.636467091072582,26.889592402057776,200.0,1359.0,20.0,97.67035768153416,1.0753523152142652,0.45260175030740185,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.70507714507714,1.0,0.0,0.0,0.0,0.0
46.0,444.07606773175576,0.8881521354635115,137.0,456.0,50.0,76.41433854587106,23.50604676162322,7.961478641061154,19.78314238952537,200.0,967.0,20.0,97.23569402819403,1.0262697022767076,0.207587908776352,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.91188811188812,1.0,0.0,0.0,0.0,0.0
47.0,439.73186610462113,0.8794637322092422,137.0,456.0,50.0,73.03377485775319,24.43859170305677,7.65552329245549,24.101355332940482,200.0,1227.0,20.0,96.16749583749584,1.1445916114790287,0.6969331262367926,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.50824786324786,1.0,0.0,0.0,0.0,0.0
48.0,439.9771384543357,0.8799542769086715,137.0,458.0,50.0,73.10689510008396,25.13560252539116,6.916326949055022,24.09090909090909,198.0,1219.0,20.0,97.75833888333888,1.0289244594215108,0.2011067249535992,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.49832611832612,1.0,0.0,0.0,0.0,0.0
49.0,441.6010573125542,0.8832021146251083,137.0,463.0,50.0,70.93006979948157,24.99331783846601,8.744897180789563,26.453957996768985,200.0,1310.0,20.0,98.03392413142413,1.0098579298347348,0.11755806494288926,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.46,1.000335345405768,0.018309367799756806,0.0,0.0,0.0
50.0,440.518341989169,0.881036683978338,137.0,457.0,50.0,70.87684163875339,25.22934719815136,9.107260870093764,26.05008077544427,200.0,1290.0,20.0,97.53234432234431,1.1061896649630891,0.49651970621039204,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.21847763347762,1.001979544704718,0.04444801578788348,0.0,0.0,0.0
51.0,438.534806889687,0.877069613779374,137.0,458.0,50.0,70.41586345371176,26.43271995399655,7.322398944292613,27.839905826957036,200.0,1419.0,20.0,98.62520146520146,1.0066339775021633,0.0912171621533762,0.0,0.0,0.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,25.0,99.78104395604396,1.0,0.0,0.0,0.0,0.0
