seed,total_reward,average_reward_per_step,eMBB_allocation_percent,eMBB_throughput_percent,eMBB_latency_ms,eMBB_jitter_ms,eMBB_plr_percent,eMBB_queue_length,eMBB_dropped,URLLC1_allocation_percent,URLLC1_throughput_percent,URLLC1_latency_ms,URLLC1_jitter_ms,URLLC1_plr_percent,URLLC1_queue_length,URLLC1_dropped,URLLC2_allocation_percent,URLLC2_throughput_percent,URLLC2_latency_ms,URLLC2_jitter_ms,URLLC2_plr_percent,URLLC2_queue_length,URLLC2_dropped,BE1_allocation_percent,BE1_throughput_percent,BE1_latency_ms,BE1_jitter_ms,BE1_plr_percent,BE1_queue_length,BE1_dropped
42.0,454.35396391153336,0.9087079278230668,47.66204071044922,91.53333333333335,88.65658889254026,48.463652815592305,7.684550221863655,1534.0,381.0,14.874007225036621,97.0,1.002307470435535,0.04798068377716365,0.0,0.0,0.0,12.700493812561035,100.0,1.0,0.0,0.0,0.0,0.0,24.763458251953125,97.2,1.0,0.0,0.0,0.0,0.0
43.0,453.53069603443146,0.9070613920688629,53.79539108276367,93.4,89.76233183856502,47.4924575090739,6.2362141568077,1554.0,311.0,14.35373592376709,96.5,1.0,0.0,0.0,0.0,0.0,12.482409477233887,100.0,1.0,0.0,0.0,0.0,0.0,19.36846351623535,97.73333333333333,1.0,0.0,0.0,0.0,0.0
44.0,457.23038280010223,0.9144607656002045,37.423030853271484,93.4,88.54069400630915,49.88363509832113,4.099711578079934,1485.0,199.0,17.148487091064453,97.45,1.0016648168701443,0.04076818925256758,0.0,0.0,0.0,18.381471633911133,100.0,1.0,0.0,0.0,0.0,0.0,27.047014236450195,97.2,1.0,0.0,0.0,0.0,0.0
45.0,450.100298166275,0.90020059633255,50.251953125,90.96666666666667,94.50330687830687,49.84028050175006,10.066977877004263,1407.0,496.0,13.693602561950684,97.65,1.002575844304522,0.050687368551157776,0.0,0.0,0.0,12.378962516784668,100.0,1.0,0.0,0.0,0.0,0.0,23.675479888916016,97.0,1.0,0.0,0.0,0.0,0.0
46.0,454.4367373585701,0.9088734747171402,49.50641632080078,94.83333333333334,88.55037783375315,49.2160645898384,7.931236569642508,1537.0,406.0,14.264178276062012,96.8,1.0008573878250928,0.029268630156026546,0.0,0.0,0.0,13.105622291564941,100.0,1.0,0.0,0.0,0.0,0.0,23.123775482177734,97.06666666666666,1.0,0.0,0.0,0.0,0.0
47.0,453.2762266397476,0.9065524532794952,46.33119583129883,93.4,94.09740670461733,52.427402288010356,7.469542640303575,1471.0,374.0,15.362339973449707,97.55,1.0076726342710998,0.0872568905843068,0.0,0.0,0.0,15.91691780090332,100.0,1.0,0.0,0.0,0.0,0.0,22.389545440673828,97.26666666666665,1.0,0.0,0.0,0.0,0.0
48.0,453.44042229652405,0.9068808445930481,45.11955261230469,92.96666666666667,88.50845803513337,48.151748175318886,8.977955911823647,1468.0,448.0,13.873912811279297,96.7,1.0220504009163802,0.16520156657006818,0.0,0.0,0.0,14.077094078063965,100.0,1.0,0.0,0.0,0.0,0.0,26.9294376373291,97.26666666666665,1.0,0.0,0.0,0.0,0.0
49.0,453.8576110601425,0.907715222120285,51.78414535522461,92.8,91.79026687598116,49.511845936077265,7.0808678500986195,1526.0,359.0,13.620983123779297,97.75,1.0002833663927457,0.01683110502115897,0.0,0.0,0.0,11.331546783447266,100.0,1.0,0.0,0.0,0.0,0.0,23.263320922851562,97.73333333333335,1.0,0.0,0.0,0.0,0.0
50.0,451.9318612217903,0.9038637224435806,46.55786895751953,92.96666666666667,96.27663671373556,50.95322283792743,8.865529551765173,1479.0,447.0,15.235827445983887,96.1,1.0002918855808522,0.017082165660711652,0.0,0.0,0.0,15.414944648742676,100.0,1.0,0.0,0.0,0.0,0.0,22.791362762451172,97.26666666666667,1.0,0.0,0.0,0.0,0.0
51.0,458.79958814382553,0.9175991762876511,48.74588394165039,95.26666666666665,82.38157081014224,45.36050586305472,5.122494432071269,1452.0,253.0,15.958468437194824,96.55,1.0,0.0,0.0,0.0,0.0,13.49635124206543,100.0,1.0,0.0,0.0,0.0,0.0,21.799297332763672,97.66666666666666,1.0,0.0,0.0,0.0,0.0
